text_col_1,text_col_2,text_col_3,text_col_4,text_col_5,text_col_6,num_col_1,num_col_2,num_col_3,num_col_4,num_col_5,num_col_6
cnmgGokS,KXlkAjNo,XXAevsOS,PYKnsLgW,oCjMfYfO,rwCejAal,63813,29635,44869,80992,48399,71372
wfadPzMG,UifJlWNK,ESqFqnQs,pNUjzWaz,ABJPxZNs,DgZkecIc,41634,54222,27667,44288,54792,23219
barpyTtb,oeMgfFcr,TvzpOKpV,oSBuyutv,YgAnYvUr,eQVUQjSV,45572,41538,73980,38243,39355,83302
OzuXmOIW,gTteaORe,LkjxksRE,EvLnRMZK,OJLcfaxB,KnWEfYlH,7484,42912,40249,87863,95154,38339
JPqpgDDW,hkYoSrre,YwwtzVlc,wJximCvV,IVPhtgaj,ziqfIBct,16542,3005,89607,91133,30232,58462
DDDKmKzX,VIXxPhFH,xYmXIazR,RRbEcHHB,ZTxgUAtf,EcyTJJPt,85842,50809,48115,99176,31298,2016
YuesvOOH,GqdDZrIi,DlqhXrZW,GHEyIhQp,lwcXKXDY,TUkijZjI,7432,39045,2725,66141,70710,83283
LuMkjzwo,AarWhTxU,iTckuFiB,limFFcmj,PZiXxokH,idfwRXxJ,22818,9815,43778,95603,23765,65606
LGOhOAhq,VClkLppJ,ivNsCDuS,CqlquGnL,iueKSVce,Pazojgtk,963,26706,71633,24253,70628,62031
zktellEB,CWrzEJJu,yuRNMVMl,YPQqZZiU,UwqAJuRs,JOdJnjnr,11971,81586,90765,72579,1500,62260
FKbNqivA,OOFKcAHS,rSCxGBWD,CkAPZQHD,MbepEEbe,GGKXhPaF,71109,9254,20237,71541,48156,33982
TyQoohFK,Boxswxzh,kbAIQzvX,zodLnlDm,OGnOkSKI,fIUDacse,88160,9490,34227,78756,85066,75160
suuRwvtS,wVxEZbLx,OSGBpQax,hARyfbHa,FirJCrEk,gWXgaGnW,73684,83460,20826,5582,8553,89365
lAjAiYBE,sThUmPoT,fEMzMeVJ,BtAQNXNR,hyfqMOyc,vExQExcV,68801,57473,12451,64701,28799,1713
kyJRTSHG,FiFfmmYL,mDUXUKrg,YLeaEgLi,XfdNjLCv,KTOfioqV,23580,90395,90064,8454,91864,2092
VFwzzCEF,hmxPvYzu,mHjzmSdv,yeYTJwxU,dqovAsHd,oqnUhbhq,9433,20960,9851,64257,52761,78916
sRKxvnxb,YOEJWIQo,WQulFjaV,bYzMtLDi,eAHVFkbc,eJHjurZM,76208,13110,73072,34995,61226,74294
AcDllSEP,zCvDnKOv,hiKivpPI,YDzTbHvU,fcelSnQG,NrLFzfUD,56810,78692,1565,27501,72477,23722
gJWUdVpK,xfwzwrvQ,XpxodEzi,SxWOiCFy,PHTwMzoZ,RZXkinFU,24282,59819,9385,98187,58313,79843
xjkQGNUX,tOHIHPXk,zYnSoieW,GRiJXRVc,GEFPsLOm,hjIevyEw,2866,89992,6790,137,88255,68444
ceaFNfPJ,iPvRfrUY,utLInzzc,CdFAYBCH,aHgZnEkQ,QvzQZOoC,58137,38371,36921,86958,29726,18432
xeqIPBZy,EgqQPaeT,yXFWWMxt,LhOmIsEc,sODptuud,sNarRSzs,6390,65121,15036,72251,50477,24897
FnudihZt,htyvXbTH,bweauNPP,ZklKJrKg,aiMXbCxQ,qzxfMRDG,96847,97499,99918,16438,84577,20843
GbnJNjcH,kNuqRJdv,CpQXVioQ,ChlBoNdE,fOGgscBy,RNCZGFrT,34570,29122,40163,56243,16657,52141
poJvzHWN,xiXzCsVt,vJZTZFJE,sjfjOudn,znYbpnTO,zpUKLZeA,30953,63816,53793,9491,78178,27441
SWQQnidF,SZSVAjFN,AetbZqLi,nxbxboWZ,KzcscCzd,KVTUVmvz,49100,26354,14704,48598,86182,75245
YajPFRrV,lTZoBAwN,VtsYshNM,btqvepcI,pCnLAwwx,JJTnpYea,91059,41904,76311,63429,84482,30384
xawqbPyB,LkDHseAY,kvljcVjH,uwXtRQhB,ctdoCxdg,AiRUrtRb,44387,36567,87842,9201,13192,83252
qlCdWUwV,PwUPeDXw,MCOdlbyi,InSKtxRb,Epyqwhff,FQVZMnGG,75852,34769,72682,27021,37948,48696
WYQRStjY,qbnBlKCg,OWrUgOuu,xKEOiCKn,jDjFAQZR,bLMHYgdA,28110,20384,28764,39444,58722,73605
WkdTqGPj,uzMNVsuf,IPJhtgLd,MYGztufT,rPKWcfsk,UwdHdAWL,40187,68235,94659,82885,37128,59624
GOcznBqO,YqLmjolk,NVqhqhXU,JBOGkVMR,DmRipnyC,rhgfeLMp,94922,84659,90686,23615,79837,21827
jQqVamhJ,puSpwbyJ,AUpSdtrH,peNtOkck,RuAKCMgl,RwlsqgXb,7567,24671,54130,13104,64688,94109
GBtUYcpF,MHFgtcAy,DuSztuea,KdQjwEoV,xOEElIGW,WOxEXKrn,50824,1518,18184,53666,87755,4206
mPOMWdDr,fyNJoTLK,wPLkoYMI,BJkjzbfg,DXTHsApW,fRhsQEYg,73698,88266,18252,53617,90099,8420
eqmSdApb,YFsNIaTW,BxxEuKkm,fmwdhlzP,dOZlPZTb,IUyINtcw,71885,20161,69124,7009,44765,65315
KNgceLUa,khLDlkQy,JxhDZviC,THEBAJiV,wQkejxcU,cmCkMQBo,9020,4471,60186,80537,62962,69861
PpyfyGSC,YGfRLvVh,IPBsKLwn,wxQxBqYm,sydQbaOd,qGPyYZLZ,21002,52071,77931,44800,71086,2946
DhfjnFyM,aJBiXHng,pFlpPIgH,MiVQTFxx,DLxPjwMx,UdiGWgcI,83240,729,1756,54507,70185,66366
rcmALNWw,rKhtwuqD,IPLzkpWK,cUguIiIm,LGvYATYn,brNiKGKO,88530,2265,28192,60843,2716,76594
oYEAdjMZ,SOcfwhzT,zyJYqYxa,DtvDTFod,BfYroGDR,NBTSiCxY,98714,52570,63808,51303,17676,54260
kONgyxEM,xSTrcuan,oKZYXkZJ,PKqZGyNv,xACMwboR,InwEdiVx,31794,99179,17571,29626,99289,62178
sJLUVoqp,amlAsOLM,kmIwyHQp,OIsLRJQJ,sJfZzqWM,gnXNfmtS,88114,39516,87371,90238,95833,54767
kHDrvMNm,HZMnEFKD,CKTAwAwW,nRQFwOwo,SisjsxaV,AImuABBX,52515,46063,29703,60152,65785,21076
FVRFJXaP,BIBibNHq,aSgLKMiK,bWmgbHGw,CSxOHQlG,yAyptpvS,49987,62810,85810,24608,82862,6700
dNSypHDO,yGOcRrnd,efOeuQXJ,QXulsHzE,vEqNVBgT,EZLSOBlV,58813,1854,92049,17082,45225,76394
gPxYhnEX,iQxmWMWf,dSSLHOCA,HRlCGzRr,kDmRKFSj,BlJZpVIO,40917,52570,64151,46644,37279,63108
ZcQdaHLp,TtpCpvhQ,AYYQJWiS,PiGIJMKS,VUIfNbnS,NrrRwxsA,65512,55366,14295,35259,18917,69580
EiJjTdcg,hXOBpvej,DGorBGDB,kuPrmLQo,ksqLPifJ,wLkzqFcG,13863,43783,12498,65268,1745,6375
fCmcKkti,lLqWFOxG,PHAEJVJT,gYTBCbTj,dDfXGrtw,GFuTkxuY,81282,85179,58054,53052,193,24537
zyiCfLcV,TeoDlUtv,pFnMjQyQ,nixkzbSQ,rdmzMAit,KYTqbdFv,89318,49868,68131,42125,69096,18929
oCWxjHKW,hVKZYPsj,fxYOvjkd,RdwLPDgl,PVAPigAf,UKOpFfOo,74210,54349,12398,75173,58743,58373
ztLQXaQP,qEGUFKvf,iBWvfPte,mjiBwEhN,zxdWDGhE,kbEFeUyX,1992,25150,63030,4259,51404,68955
GeQljqwQ,aWLUQREN,BftEQYAx,xUzXfFoA,zcCQDTRR,gKaADLtm,11538,65925,73968,14196,45773,14929
WuyohdOf,hbqffnik,uFMkZkmD,eOCxrptY,LGhFIDFD,BTdprsaU,91961,80940,79178,53166,2286,38187
NZkGkyoq,PqCEjDaS,kfzxhTfy,MKnGsjkC,fZHruxQL,okufGaIE,73001,93237,57384,11610,61148,20824
zBGQIgxH,zDwoIzIW,iPOjMTzX,ojmFPJGx,SNoZpZOb,kUwcvVNr,62300,17402,81953,32407,11036,29563
qEzcTKKj,YMiloYZd,cgNYpRpv,aPwPrQuP,DZMApvuz,wrgzJESp,54894,46944,92294,75887,55272,92726
ukXRpwZp,CqnTWAyj,jrGjmBJB,lwkpCqMf,jaxerFQj,VdcESCEf,78543,28807,40420,60955,24315,66610
wVhgWsbi,VltNfzTk,eFVIxIRO,SBEQDVXT,XqIgVKOG,KahkkSvx,7293,68584,36660,53689,35648,99401
lCMradUF,OiVrtbQR,hRnhlZPp,DAhLbHaF,vMVedUkJ,SlQnLLtN,94380,37036,96694,67236,86635,55005
FDVdPFuE,PRQBrueI,mAXDaYdL,elKGyxrr,MKPABQgO,xoWrLKcN,10832,36424,61278,87558,97182,31842
NKSPPxzw,LgNwNelg,JDGJPEfv,sQciAVon,eLWvBGNf,RCUELMxk,58773,4040,12808,84425,58700,4817
GzEYtdpa,fDkvTLxm,OgIvJDig,kTVIhqkd,tGnoeUGK,oxqOVCaf,86511,34384,6131,34666,34912,22503
PRQskkmf,AVkVQXcQ,foPvydeZ,JcUYISaN,algvZHTD,qiLgNipT,87862,33474,84164,81374,15199,46759
BLGVxHIv,uAdniPUS,YBaDOaHS,BtdiikSM,WitmsmFv,izAJzoma,52612,26009,70243,62736,44404,14792
QYhQobRv,vutKAqQo,gIPfrjIM,dtIbnYCk,GDpSICUt,qmDmfcTR,13271,51053,63622,46370,90407,76324
GbFxUxRK,qiLKDuLY,ijsNMrjI,CYsVpsBK,KMnOHsKE,EXkiOfLY,36458,40997,93161,7382,42024,35124
wAcadLbO,unmAkYeY,HQDmXcEv,CZwJslvO,zUmGxcVy,iKhTQBTy,33507,61014,46049,16848,26103,41974
LNQQAAod,VndTgQKI,fjgYkrDB,LebzYsEm,jpAHgprM,pJdGtuAC,89228,50781,68296,38631,88449,58438
qfCMSNzI,QceitxwE,Cfimyfgq,lxwHgOiv,xyFfKZMl,jycAInTe,33225,73723,53984,50331,47524,24990
FWmdorra,qqabIUHy,ItlItURM,VTsdBeLZ,HcCtnjSN,LyoIayAC,84163,44491,59166,6279,32247,91010
ZwoAENmh,LMhLaPml,gBUsvxqP,tZaErxNA,slUncukJ,YjbNJACs,53281,17578,64273,77165,31359,95214
dWwfgcpX,BKbuisTv,yBzpXeaf,kaXokzQs,vOKWpPIX,grCnrJeN,51512,83283,80827,57701,96159,85135
notQFsBg,RPMLebbb,sShDUKTO,YyhOOwnA,aoYQjEAA,FpNgnZGS,21203,58610,50430,72034,49092,55497
pTrPPQUw,UamZMiZP,HbwTBHTJ,rjkGhVAk,RVaCEdUo,YQkYGQXV,15160,31684,88500,10978,64553,60804
XGClPOXp,IlNrWVQA,RvlbbGnC,ZUnqBxGM,ukugCYSF,ksuTJmss,26751,396,37359,5876,65717,1716
zzKfDvBl,QXcmmniP,EMmnTCUI,GkUTXpVL,KiqkycBd,GMSPInvg,96579,18004,53560,80278,55666,50157
PcMpqCLY,OjTWzZqM,QILwTxXZ,xXdNgWDz,wfTCvAee,fGQVvifW,6855,4539,55777,73045,9340,11725
njHADUfb,jjHQPLzX,zUBaGJAj,mGXYcGdF,btBNalRh,jLpSeGqI,50785,87957,42291,81106,2893,92831
AigjRlVv,zHKYxEas,LKLUbZsd,FBdYFxSX,bRWLOfAA,pDrOFsuI,61113,91635,40388,28747,9155,37568
vogesoyn,wRiIDMkv,MYHosPSi,rojhCzIx,OxJClTll,jlkfcuwm,83286,49405,80963,58367,86525,26414
uhdgcTRs,UkTVLdIO,CjQTFVCS,StaxkBlP,VbDaPJOu,WFCRlHPf,83903,33563,25678,83796,60624,44115
MBSqktqD,ZZErYUkU,SDWbrCke,lCRznAHg,gXkUWFdk,HXwTTGtL,52083,21373,29973,35504,69969,67553
mLGYeILT,AaxLyNfk,FlNCvXbx,DeyqlWef,syNnTiNf,nbiVQqny,22361,29673,3426,80344,11774,72928
DgiYWtJe,ZqWXsEex,EqLYnfYD,mrgdNfTz,TlubFKXG,mcqQVlcP,90335,60264,83323,84144,31461,91129
mUlxxElZ,vMkycEZR,UgrzUKmz,xvmGScby,UkbtGFnJ,BdIbjVdp,92131,34937,5922,6964,84014,5199
KoHVxjms,UcSYGSYn,BkcXEtQJ,zbqsQUlF,iDJoBJnb,IfprVwsc,27983,79283,3737,82950,73418,21535
LgMwJexb,mHDreBAO,xLwTdxlM,tDilUFlu,deaUuJpO,IBYqPAFS,11090,77288,35098,70695,56135,35883
DTJJRxKQ,xfmjilUG,dEQxgCTo,nRyTSdYP,QLxaiFfK,XgQnQEnn,6713,42114,99716,6269,42457,53313
ltEXecSO,mMcMcBOJ,erhtrrQG,krpmDblM,bPAnxGJi,GbTYyNzf,26130,25832,64866,82528,48296,91066
EhMKPbhR,orPOcuoy,gkhQQDaB,eHRUsLel,ffXEqAab,ddIJaAWT,54226,63137,45769,72969,75848,4699
luBlhGZm,zwYjhOkt,mlBsMbzV,ijdkiOcj,bhAsomFM,RhgHXhyN,22227,32918,72867,38487,97530,46511
UpvjvSPZ,HcaKXplK,jwZaHzSN,kPrVGLjp,cpqSJCRc,VLgivkdV,73659,73838,76283,3445,5260,45670
zOTZpdjI,mZhLhrdY,tmxXVkQB,WtgEmNRv,EblxUSSc,QpZLfjFB,83187,37384,83017,34541,19026,33926
XRuEWqtt,obnrLkQJ,ACsKiIOU,hAFYbrlR,dHhjlfRy,xpfVwouS,28080,60287,21683,31790,66137,29874
qcBSKJUN,nngKIWna,ybvnxehd,qMKdcxuu,tuqNAlPU,nRANVuTU,58257,33669,79650,5543,39296,45472
vAZDeRTS,sOUSAzLT,gBiSLsQt,vOLpGVbW,RyGgAPSS,LbknzzrG,36256,83048,83590,1293,82409,74881
BnCMaBFq,WYsRxcQL,zkIDMgRA,rPcJpXcA,oBqUVOjK,zhIJQOgw,21776,16938,6549,45825,25736,31276
EgfeTmHr,TgraVmIE,NaurIunr,EWSZUgcS,siCEuQdv,OfaWlfxv,25891,37991,69750,80123,99724,11184
FpVAVuGZ,EUoRDIya,SvzWLJDS,yqLOmszW,SclYMOqz,LiihqPhD,63534,66144,26621,10650,88601,87791
TLDnDaPA,oHiNQKrs,KnicmAev,ZgYCMKOY,SIJSgsrt,QaRhrDZN,52435,16124,84129,62705,51519,99309
iWbsBHlI,jrPEVymy,xUMbpyiQ,PrnKVbBg,aZqHANuZ,zalVBZFU,40780,14441,60837,36388,1979,67125
kXDdgbQN,nGZvynUd,hwmBRaxp,QlnfaeqW,aXupSmRJ,JnSSctBc,12614,744,22259,76657,51077,98547
twkOLwST,ngOUJviB,LgFTWQSz,OfRRhoXM,qDGPPMfI,PFCGDYLR,21883,67661,54194,91302,81457,66102
JPcMZqpY,NvniPQWw,txisciNp,dVMRjgIx,iekCOIHB,MgmUqFbH,57437,44816,28268,58205,69790,3411
eqwmYaFu,zBOEDxlA,xkCrkTCb,BcWIDGKI,UtMaMXYf,QvhTDuCk,78121,2382,8505,8434,6527,48871
YJOCeakx,PINrETVy,jCmxEEYc,ahiGmiza,QAHRiWyS,blycFsEy,79128,63840,65909,10873,75171,49748
blBfJlTS,zOMGSnSC,YcLdLVHc,OkcqrZOh,nnzIcwnL,HBcRKFEK,28242,54161,9835,69098,92794,76474
jrYONLUG,htwwkvju,EbSimBbu,FWkwGMXu,tobyYpit,VgQghPzB,59676,34541,98101,36571,60151,95908
uuvHLvIs,pilYwisb,IDutHNPK,DzdaOOSO,nVMpHCXm,SXEwasST,88339,20582,45142,35011,99486,44008
FOhJVlgS,wtPnOcvP,dshStLVU,TpRpQHqH,peTQKbAm,lqtvJjoF,49024,51343,74070,855,1097,84958
nJstTLGv,yWLJtKGV,mGtpyHDH,tzdvQcqY,nNdhWcxZ,pTMyTCkK,33813,3011,50602,53144,33215,38938
KdGFgyQD,UjzKUXtt,xOLGrJEK,HEBMxNrb,JuRgdiEF,FogChlQV,9580,53391,81674,86836,5347,34735
YNWwDAMN,aprgtksw,zGOKEsqB,uFCPepjl,agLmfUEm,munSFlvG,98257,56681,69894,91797,78972,75601
QAAlnRCw,SbTqPpYs,frWbIFvK,WEkXpnAQ,uHglbhCP,suSvrKFz,74912,24088,22355,87790,96821,67705
aYKQkqvr,PbFTkLKl,GbQihGOe,aUqFhnvE,HkeUPoFP,lSobZBql,87325,96870,13456,74116,11555,4224
dirXjGNq,wLgqyaKs,mIUSrQQk,aLlYcnQl,vejqbgKf,NwcxLrew,63925,32232,42250,30381,47565,53068
DdPEDDsa,eKNKxvyU,dXVbWVvD,xyWrFxfS,eWVGoseF,ncVoxYkZ,41391,96266,11237,24398,52105,27474
RMmCOoYz,CTnmvBFI,ZDtBxYUC,bWVeFwDI,RQdgLVvU,fFmXUpDl,92256,55351,98310,53045,84954,19811
iUnOmbUc,vLbRzsyt,ZQbaKgIh,AyVjcvRn,idNrWZkk,NqSBnRaI,38826,74807,67904,39122,69928,69384
uefmZPwq,yxJsXpBf,jwNCiJqX,UYLBAIAS,iyUlLYTD,DtQNeMdl,74926,1760,49912,31763,1795,24424
UVSKtjlD,QBZRgErR,dmbjewnU,AgtZEaaM,myThWUWC,wEOZUJoB,3193,69800,33536,69989,4294,87536
qhINriTe,fnLxNFVK,TDEctNtP,ClBVOgaD,YFUjSuvM,gPBbjJON,82578,53560,7920,76317,43161,13260
yOmGLdIj,hjOGTeRn,CUNpjLzL,kjgaJVil,FQnIElWL,ZevAtYvB,32193,40931,12339,64108,17061,80952
hreJSZEA,rACdflnE,KtbTupPm,DfYeETVT,gYUToJlx,kDxyPIhX,50504,18623,54846,14148,88305,71180
JFolGegr,MoFUgVSI,RRGrYtAO,TuDgTEId,AHPWpmhN,dCkXYMGh,45182,52559,81854,86467,83405,58357
zEipfHHT,EmYjfNfu,ZehwcyPd,rKwRgwJq,mStUCKiB,cmvvjPCR,44975,32877,17248,8335,60979,56676
mWuKMcKQ,AlTtGqtG,PBAOiDpC,NCyEiagX,HCQUTQor,jtKoKXUr,87726,30465,23550,91191,89980,60024
guzXtJja,pHtGuopm,RENWKPwV,wAGsNCid,CCKzYRwY,XagzuDQO,56231,72436,27621,59097,97100,52997
wcCjBgDK,ARQoCvlq,fxibNaUs,KCQiSWIx,ljLahaDX,CjUaRSVz,12384,4633,52571,989,135,56889
NTBqSVJU,JzdOiRmb,MOIRsawv,JjuosMDt,plDCEltY,vuqQJnHy,34886,18223,70789,49851,70151,18896
GyKiBXDo,EVCkaTGm,stLXfRZv,NYDCAQaq,VbYeyrDL,axLXgURs,2098,34790,65006,84765,75495,97786
DfoXrWjs,DzAtiovF,RlcoWMsJ,MrzJPDZC,gUaQWvnF,WhVmhBxT,82028,616,31009,53468,84663,4386
PDWNcjqo,mHBnvaJv,rPMusmPB,kHdLhsIF,NfRfOXxP,pDEiBDKe,74923,2139,81675,90384,25555,23399
qkermNDc,jRsvnziW,iufcArkJ,TPFxtGxC,TjeYqNhO,AZFczxbV,19993,28983,15728,35467,41733,28638
kVAsAJWd,RXkTgkLj,UoVaBnTg,uYqpnNNZ,aXBjfdOb,sBrHKbxr,558,98971,14711,98875,63812,45022
MmFyQhmp,ZIEJgXRm,VXgnBXYt,DmpSkKpW,nvCcabhc,blbpbVzj,37996,20064,70284,32386,51734,88333
QOUggWAV,LGdKaDuJ,ZnsUcbBz,eentRmLl,DTtYXAcM,qJGgHYdj,82473,26857,78994,5016,31598,37005
nwGFhbnl,cdPeYeuu,GeGsDryv,XiLZoNMP,JpGXRlRK,UdpcmUHt,57859,46491,11623,24922,56490,95912
cIGmcCfx,FcZsZssv,FuoJBrOB,gWEPiwSe,zaYOBxVY,MGUbaXbC,27549,74494,63502,21024,82266,14184
tgFHeRcQ,rTHkPsTF,TKYvKiwW,KqWAKXfw,nZodMebv,GLnuRuvX,28434,20171,78108,24498,73476,98666
kXsinKDj,jFamyHYl,EhjBpWax,OEYksmwd,rWCKvVLO,GtbIgLEv,82272,54822,46979,42258,81213,94100
dAFXZNrN,MzUHWnCV,ttWlJEDj,ChbvYjcM,QBSgswYk,hVwZLpGL,31644,90943,88762,8766,16911,87651
YyeGWljX,cVqpuARn,qppedDqq,yCeoUKtF,luYsiwHa,ptMBVkfU,96128,6551,89604,32836,67802,71261
seEcewvN,gVEDWYeY,SwqViPAw,CglRILYP,xJjcXmAk,rkUerzZR,96463,81331,32686,65052,733,5097
JvweuEca,WuYFixIP,aXfWhENK,SlxMihFC,HzNAvrkm,hZjOnGbE,98115,77884,86778,38095,97366,52161
JgKWBeqR,DlMYOpXf,SwqWJYbw,LeiPmIxQ,RIFeRTFU,CBdELgrS,16341,24746,51772,47628,88095,5470
mpNBuzwU,FyjkVrTe,aUAmiJBq,ulICeIJC,SfjaSWpM,FqwTZQVU,951,99705,88304,62750,14813,6484
iFmunpbi,THzZHjiU,cflQmUHF,mOORPmxp,XVCqIEUf,RBcgwJoF,38821,40185,25350,13019,66053,15324
OlkoLkKb,SFFZKGxh,reMDIGLl,DVUNOFca,VGOIrIrA,zbDZkaDh,77576,52937,91218,32713,29348,83873
NhACZmec,eTMljtxc,MGwuOecM,uyFGvpiq,kNhDqGLi,IBsUtgmL,61383,27005,24166,98156,44313,65039
XIJDFowD,MfxmsYWY,ABXkWUaA,ztQRIbKg,omYOnAxn,LhVlxaua,15370,96961,31334,6375,6389,57991
rEchQvun,pCXwMgDn,CGJndGqf,vesNszrT,xZdyKmpc,DTIuPywp,66346,71731,57938,55518,79622,21734
wfjJfNGd,nzwkzHvj,vLcAmMwc,YYenQoJB,kywDjLqL,MPkVlczo,65119,66558,13667,24791,60032,69570
RbEGdrZP,RDTZbSKq,USujYIol,PPtpylhv,ltaJeJfR,UayqxJha,31561,92593,11135,49787,92252,66723
RbgcLfQZ,VeASWIyh,RAAfAaHo,sGwWTdKx,ZwvmivXv,ghCULGWG,30240,59937,76117,27738,14253,57661
QbApsiET,GYDmlRvM,cuvIiSRE,kpcMdpma,mlMWnrqf,UKJiwhPz,83629,98559,68352,13314,59513,33038
afeIlpOJ,vZjSoaBI,GbJANdQo,erXLDEnK,YNUxKNbt,zCsqPVfd,11285,9507,69853,19282,6849,44351
JMgortLw,rLaumkFL,rIxKlfUM,XiAjeRQv,WHGFJpDg,kdWftZWp,34459,53278,76414,10272,22946,40388
yiGnLQsf,NeTijAhv,gwOpvqrw,SQwXtEvW,gQWUydNf,HeeMVfnI,99045,93557,58888,57367,30310,44011
